spkid,pdes,full_name,neo,pha,class,moid,e,a,q,i,per,H,diameter,albedo,condition_code,data_arc,n_obs_used
20162004,162004,162004 (1991 VE),Y,N,ATE,.0574681,.6646220635992905,.8907810587174375,.2987483132574934,7.216357907607097,307.0823726644792,18.28,,,0,25965,1890
20162011,162011,162011 Konnohmaru (1994 AB1),Y,N,AMO,.154351,.5968482429331501,2.834502247571415,1.142734561518351,4.550170671099183,1743.06521224787,16.60,,,0,10714,514
20162015,162015,162015 (1994 TF2),Y,N,ATE,.254616,.2840953369246639,.9934382284329603,.7112070602124572,23.75240566808528,361.6677038515011,19.25,,,1,3301,147
20162038,162038,162038 (1996 DH),Y,N,AMO,.134121,.2767311159655202,1.586726533649496,1.147629929260569,17.23599355450913,730.0482313305997,16.69,1.959,0.105,0,11017,1971
20162039,162039,162039 (1996 JG),Y,Y,APO,.0123859,.6606477558109155,1.80248197777187,.6116763042672636,5.279635616171089,883.9034387961029,18.91,,,0,10849,787
20162058,162058,162058 (1997 AE12),Y,N,AMO,.0870975,.5545467863074831,2.367214076643098,1.054483117938832,4.850776759312546,1330.315737925854,18.00,0.847,0.186,0,12246,887
20162063,162063,162063 (1997 EH29),Y,N,APO,.151027,.6664139787294441,1.214106212849991,.4050088609444911,13.01207000861841,488.6337372467511,18.96,,,0,10253,286
20162080,162080,162080 (1998 DG16),Y,N,ATE,.188182,.3582167514327131,.8966837463936406,.5754766076979958,16.20628151337795,310.1397077823287,19.91,0.777,0.035,0,16470,723
20162082,162082,162082 (1998 HL1),Y,Y,APO,.0409478,.1870612003261032,1.246329349308348,1.013189485225077,20.052306495568,508.2152117944061,19.12,,,0,10372,2130
20162116,162116,162116 (1998 SA15),Y,Y,APO,.0469649,.5584448956602491,1.91589088659445,.8459714003337903,7.112353217274874,968.6225697590337,19.54,0.538,0.116,0,8971,91
20162117,162117,162117 (1998 SD15),Y,N,ATE,.110316,.3447590616291832,.9326482042618184,.6111092845303711,26.79810123079691,328.9843315557471,19.04,,,0,10222,798
20162120,162120,162120 (1998 SH36),Y,Y,APO,.0120605,.5709863443970986,1.087804626213263,.4666830392734995,2.13266818950618,414.4048018125588,20.64,,,0,10132,280
20162142,162142,162142 (1998 VR),Y,N,ATE,.150622,.3178149617728093,.8753347738778811,.5971402861794716,21.80792345661528,299.1298130185458,18.78,0.462,0.250,0,9902,773
20162149,162149,162149 (1998 YQ11),Y,N,AMO,.229077,.3966412418661437,1.874152665924456,1.130786425065435,11.93058548105061,937.143019099196,17.51,,,0,9709,2289
20162157,162157,162157 (1999 CV8),Y,N,APO,.0568075,.3514786135135287,1.296965143882573,.841109633335352,15.26695092347064,539.4992976690222,19.95,,,0,10041,162
20162161,162161,162161 (1999 DK3),Y,N,AMO,.44807,.4424574015450031,2.116046501586079,1.179786064945908,43.15443453484753,1124.310425886429,17.68,,,0,7688,168
20162162,162162,162162 (1999 DB7),Y,Y,APO,.0019999,.1948999858613423,1.20569579619272,.9707057025616794,10.84027724352103,483.565208692128,19.99,,,0,9047,299
20162168,162168,162168 (1999 GT6),Y,N,AMO,.117284,.6012673995211896,2.778163607004158,1.10774439957636,4.029141582635537,1691.356488122463,17.35,,,0,9774,827
20162173,162173,162173 Ryugu (1999 JU3),Y,Y,APO,.000538502,.1910730046480051,1.190918932702464,.9633664739388087,5.866442486408568,474.7027265420688,19.55,0.896,0.045,0,14345,5124
20162181,162181,162181 (1999 LF6),Y,N,APO,.063671,.2805675203968097,1.40964721698894,1.014145992684089,18.94277392136631,611.3136373747333,18.20,0.729,0.175,0,16459,1914
20162183,162183,162183 (1999 NB5),Y,Y,APO,.0130453,.5348491063928832,2.073004854849738,.9642600606852473,1.431716076393628,1090.181745304556,21.25,,,0,6765,188
20162186,162186,162186 (1999 OP3),Y,N,AMO,.373819,.6115521638898335,2.708297902422414,1.05203245973769,27.59391265135558,1627.957552732687,15.03,,,0,13202,1698
20162195,162195,162195 (1999 RK45),Y,N,APO,.087847,.7730933056636438,1.597926946122877,.3625803211357309,5.893915409824399,737.7917718067864,19.50,,,0,9487,175
